date,twitter_total_posts,positive_tweets,negative_tweets,neutral_tweets,tweet_sentiment,news_text_count,news_sentiment
2022-03-19,955,331,94,530,0.0821276754387403,14.0,0.024076479076479078
2022-03-20,846,265,88,497,0.0668568604584352,12.0,0.16161353114478114
2022-03-21,1069,372,111,586,0.0740809346714586,52.0,0.04576370966995967
2022-03-22,1320,458,128,734,0.077067732104368,50.0,0.06349359668109668
2022-03-23,1182,405,115,663,0.0741570008358298,51.0,0.04015636170293033
2022-03-24,1580,473,139,968,0.0606575597832237,57.0,0.08009629186602871
2022-03-25,1581,492,142,949,0.0712585966159066,52.0,0.07390778781403781
2022-03-26,997,290,98,609,0.0642095071179255,17.0,0.0666167982344453
2022-03-27,981,306,93,582,0.0652889298663101,17.0,0.06004424497071555
2022-03-28,1766,531,162,1073,0.0646093880375533,43.0,0.09255524514245445
2022-03-29,1640,587,200,853,0.0725491292825488,61.0,0.10758232204953516
2022-03-30,1345,443,132,771,0.078817380519809,54.0,0.11296817380150713
2022-03-31,1324,436,137,752,0.0750948065626097,52.0,0.06637896825396825
2022-04-01,944,296,97,551,0.0751619629646098,11.0,0.06363636363636364
2022-04-02,416,131,41,244,0.0701178552124597,51.0,0.054104624678154085
2022-04-03,1036,309,97,631,0.0730344251336898,47.0,0.05869013718747762
2022-04-04,1120,362,99,659,0.0805064441374818,46.0,0.025980084227366834
2022-04-05,1413,474,146,793,0.0847189972080622,55.0,0.05475033232760505
2022-04-06,1547,486,140,921,0.079631196842128,15.0,0.05147907647907648
2022-04-07,1862,654,173,1035,0.0850457937412321,40.0,0.13996590909090909
2022-04-08,1676,579,149,948,0.0912920615579688,44.0,0.1076986176702086
2022-04-09,1174,425,136,613,0.0905221867606971,7.0,0.029004329004329005
2022-04-10,1132,391,126,615,0.0805420031453837,50.0,0.05594612554112554
2022-04-11,1633,513,191,930,0.0717033716061169,51.0,0.057685291288232465
2022-04-12,1389,458,151,781,0.0736859958140604,16.0,0.08772866311928812
2022-04-13,1274,399,136,740,0.075727783382044,52.0,0.053002414252414254
2022-04-14,398,140,38,220,0.07954806885256,59.0,0.01307938138446613
2022-04-15,963,332,100,531,0.0787976143399392,42.0,0.02628302583659727
2022-04-16,832,257,98,478,0.0641248913539338,14.0,0.1372113997113997
2022-04-17,898,274,89,535,0.0813364735394891,17.0,0.04414877061935885
2022-04-18,1318,421,151,748,0.0700453323350881,47.0,0.06142273801848269
2022-04-19,1186,422,134,630,0.0795682583068524,46.0,0.06869390070477026
2022-04-20,1233,399,135,699,0.0730022891539892,55.0,0.07120413004503913
2022-04-21,1290,418,150,722,0.0670815745988014,55.0,0.07704307687262232
2022-04-22,1172,356,138,678,0.0651245310444595,53.0,0.12058996864421394
2022-04-23,866,287,86,493,0.0809310775736743,17.0,0.17938534504710973
2022-04-24,907,317,98,492,0.0734347548940299,18.0,0.08838734567901235
2022-04-25,1364,443,157,764,0.0651768314037899,41.0,0.09715024812585787
2022-04-26,1488,515,141,832,0.0752218885984171,55.0,0.08484561524334251
2022-04-27,1481,551,156,774,0.0755247632974353,49.0,0.11105390641104927
2022-04-28,1404,509,145,750,0.0756283456379562,58.0,0.12524675635667015
2022-04-29,1180,410,138,633,0.0735589934924204,51.0,0.06995845476237633
2022-04-30,1065,351,135,579,0.0599900111177959,19.0,0.08571222880433406
2022-05-01,1173,361,169,643,0.0549038770998994,9.0,0.09276094276094277
2022-05-02,1147,413,141,593,0.0788235619692273,19.0,0.06846978557504872
2022-05-03,1001,370,104,527,0.0860117218607734,17.0,0.13095588235294117
2022-05-04,1337,463,161,714,0.0768018089383204,54.0,0.09202835230613007
2022-05-05,1577,468,196,913,0.0628381444721891,53.0,0.07361099199542595
2022-05-06,1350,387,170,793,0.0617922665807909,15.0,0.13329906204906206
2022-05-07,997,315,109,573,0.073405678127428,47.0,0.017634437075926435
2022-05-08,1392,427,176,789,0.0664830556546513,39.0,0.12140105265105265
2022-05-09,2528,682,328,1518,0.0507850691217584,41.0,0.096371423292155
2022-05-10,1798,551,230,1017,0.0631594604882,47.0,0.0788563829787234
2022-05-11,2202,666,305,1231,0.0542125842765168,19.0,0.08724937343358397
2022-05-12,2273,719,308,1246,0.0630141018950259,51.0,0.034441391034528285
2022-05-13,1736,561,198,977,0.0711199412607206,56.0,0.08411300505050505
2022-05-14,1186,368,142,676,0.0606113313964547,19.0,0.0761637047163363
2022-05-15,1164,376,130,658,0.0653672300218647,20.0,0.003420093795093793
2022-05-16,1654,522,202,930,0.0636928416392565,45.0,0.06469183902517237
2022-05-17,1324,436,159,729,0.0697368792650634,46.0,0.05978084415584416
2022-05-18,1223,375,149,699,0.0653563537810303,61.0,0.06751842192415963
2022-05-19,1291,425,150,718,0.0704779553602749,55.0,0.01775126590581136
2022-05-20,1122,380,93,649,0.0846835206122929,50.0,0.04983401875901876
2022-05-21,908,270,84,554,0.0654470252135794,18.0,0.0585923721340388
2022-05-22,1277,473,109,695,0.1299074913918052,17.0,-0.0038642729819200372
2022-05-23,1265,405,139,721,0.0683725532650403,50.0,0.09142691197691198
2022-05-24,1146,367,132,647,0.0639666969019569,55.0,0.07263943001443
2022-05-25,1086,381,101,604,0.0819256725951304,63.0,0.11205942646418837
2022-05-26,1093,370,120,603,0.0728569099669256,52.0,0.07050206737706738
2022-05-27,1043,324,132,588,0.0589462292893346,47.0,0.051280088115194494
2022-05-28,820,257,84,479,0.0705562234137773,22.0,0.06075413223140496
2022-05-29,808,228,82,498,0.0635879424582442,15.0,0.10372534872534872
2022-05-30,1426,413,156,859,0.0549847894001175,43.0,0.04627168696936139
2022-05-31,663,218,70,375,0.0780899849830828,50.0,0.07093831168831169
2022-06-01,638,203,82,353,0.0626270228324009,14.0,0.03727002164502164
2022-06-02,660,223,95,342,0.0659168491371142,17.0,0.09461229946524063
2022-06-03,620,224,88,308,0.0653489584164555,14.0,0.05218253968253967
2022-06-04,482,153,60,269,0.0786767936338179,63.0,0.05348425677790757
2022-06-05,505,175,68,263,0.0649105226816442,47.0,0.06360320530533296
2022-06-06,696,239,95,362,0.070888273862187,49.0,0.01576055746974114
2022-06-07,759,277,97,385,0.076805108612362,51.0,0.09253345782757547
2022-06-08,625,215,96,314,0.0699560727753727,15.0,0.09166666666666666
2022-06-09,557,206,79,272,0.070293975225536,56.0,0.08106229707792208
2022-06-10,591,187,70,334,0.0643486885717215,49.0,0.06569470212327355
2022-06-11,555,209,66,280,0.0846354098958265,18.0,0.17825837742504408
2022-06-12,667,206,109,352,0.0516513763714733,51.0,0.06004901960784314
2022-06-13,1904,613,282,1009,0.0658851356520684,64.0,0.06402322142556519
2022-06-14,1211,374,207,630,0.045949405194834,58.0,0.05805123277106035
2022-06-15,1127,370,194,563,0.0539132552420912,58.0,0.06797990682688958
2022-06-16,902,305,127,470,0.062105509233358,64.0,0.06515600574194325
2022-06-17,749,278,111,360,0.0786794688808147,58.0,0.08910317252989666
2022-06-18,1841,595,264,982,0.0512532001309623,20.0,0.10373235329485328
2022-06-19,1096,386,166,545,0.0818779609585191,16.0,0.038781039562289565
2022-06-20,1557,571,217,769,0.0717366319356869,51.0,0.02607942166765696
2022-06-21,1768,614,259,897,0.0755737896524031,57.0,0.06120154251670542
2022-06-22,1581,553,228,800,0.0659390761782882,59.0,0.03641582287768728
2022-06-23,1440,467,187,788,0.0615943441415008,56.0,0.05074630230880232
2022-06-24,1322,439,161,722,0.0635689111187882,45.0,0.062028940195606855
2022-06-25,1154,362,158,634,0.0708552887440885,15.0,-0.049645061728395064
2022-06-26,785,243,100,443,0.0698992330000599,12.0,0.10985479797979798
2022-06-27,702,239,105,358,0.0680592328808268,52.0,0.0935173853923854
2022-06-28,677,234,88,358,0.069563812914686,48.0,0.06542015517275933
2022-06-29,782,283,134,367,0.0654535074163752,56.0,0.018746811224489793
2022-06-30,989,358,204,427,0.0653704762275604,49.0,0.030647602114438847
2022-07-01,799,250,133,416,0.0552096882075789,11.0,0.05176767676767677
2022-07-02,584,209,86,289,0.0648352210242193,47.0,0.052048678272082524
2022-07-03,592,182,83,327,0.0547667817980318,45.0,0.002472342472342469
2022-07-04,695,242,90,363,0.0852526118375553,64.0,0.05172216021825397
2022-07-05,677,236,108,333,0.0809826410108379,13.0,0.18094551282051283
2022-07-06,663,249,88,326,0.0734946332327284,57.0,0.037307283359914935
2022-07-07,730,254,99,377,0.0804067129835537,59.0,0.06437275295326143
2022-07-08,260,113,28,119,0.0885693134026467,7.0,0.009523809523809521
2022-07-09,70,34,2,34,0.1354557111444866,55.0,0.044180555555555556
2022-07-10,447,170,57,220,0.0909564753748199,43.0,0.0905855123558612
2022-07-11,743,271,105,367,0.069461181709483,52.0,0.06653514887889887
2022-07-12,698,252,88,358,0.0761000698070898,48.0,0.025555435305435303
2022-07-13,715,254,102,359,0.0694075435374607,48.0,0.07316491301907968
2022-07-14,658,217,101,340,0.0533255215972261,50.0,0.02631080447330447
2022-07-15,661,246,91,324,0.0852181007050641,50.0,0.037148148148148145
2022-07-16,562,191,72,300,0.075523237027511,21.0,0.057652116402116406
2022-07-17,623,217,69,338,0.0875257269736436,16.0,0.0016258192039442032
2022-07-18,822,268,101,453,0.0669838671425594,41.0,0.059478891704501456
2022-07-19,942,287,109,546,0.0642210517952409,52.0,0.10150197025197025
2022-07-20,1232,361,129,742,0.0629112455772129,53.0,0.07746436739361269
2022-07-21,890,295,86,509,0.0843255141380266,51.0,0.06540867357043827
2022-07-22,749,255,72,422,0.0805285938610788,46.0,0.030574965493443754
2022-07-23,520,174,69,277,0.0611326999513383,13.0,0.08675213675213675
2022-07-24,580,194,56,330,0.0828292762930886,10.0,0.11226190476190476
2022-07-25,699,239,85,375,0.0789696862772685,44.0,0.05356370113472386
