date,total_posts,positive,negative,neutral,sentiment
2022-06-25,1154,362,158,634,0.07085528874408857
2022-06-26,785,243,100,443,0.06989923300005997
2022-06-27,702,239,105,358,0.0680592328808268
2022-06-28,677,234,88,358,0.06956381291468608
2022-06-29,782,283,134,367,0.06545350741637526
2022-06-30,989,358,204,427,0.0653704762275604
2022-07-01,799,250,133,416,0.05520968820757898
2022-07-02,584,209,86,289,0.06483522102421932
2022-07-03,592,182,83,327,0.05476678179803181
2022-07-04,695,242,90,363,0.08525261183755531
2022-07-05,677,236,108,333,0.0809826410108379
2022-07-06,663,249,88,326,0.07349463323272848
2022-07-07,730,254,99,377,0.08040671298355373
2022-07-08,260,113,28,119,0.08856931340264675
2022-07-09,70,34,2,34,0.13545571114448665
2022-07-10,447,170,57,220,0.0909564753748199
2022-07-11,743,271,105,367,0.06946118170948305
2022-07-12,698,252,88,358,0.07610006980708986
2022-07-13,715,254,102,359,0.06940754353746077
2022-07-14,658,217,101,340,0.05332552159722615
2022-07-15,661,246,91,324,0.08521810070506411
2022-07-16,562,191,72,300,0.07552323702751101
2022-07-17,623,217,69,338,0.08752572697364365
2022-07-18,822,268,101,453,0.06698386714255944
2022-07-19,942,287,109,546,0.06422105179524093
2022-07-20,1232,361,129,742,0.06291124557721296
2022-07-21,890,295,86,509,0.08432551413802668
2022-07-22,749,255,72,422,0.08052859386107884
2022-07-23,520,174,69,277,0.06113269995133834
2022-07-24,580,194,56,330,0.08282927629308864
2022-07-25,699,239,85,375,0.07896968627726854
2022-07-26,708,247,95,367,0.07597234358815319
2022-07-27,719,238,77,404,0.06460746058139097
2022-07-28,807,267,80,461,0.07543196959190315
2022-07-29,705,230,89,386,0.0841184916510841
2022-07-30,659,238,74,347,0.07983533549262196
2022-07-31,647,220,68,359,0.08939700184243682
2022-08-01,710,266,73,371,0.09377458310468875
2022-08-02,704,231,84,389,0.08009345102226341
2022-08-03,684,242,86,356,0.07154441988323568
2022-08-04,605,197,76,332,0.07028319222209423
2022-08-05,499,170,42,287,0.0705601808475055
2022-08-06,535,188,51,296,0.08352779001877644
2022-08-07,592,203,71,318,0.07113239426520676
2022-08-08,882,324,94,465,0.07717615622174957
2022-08-09,664,249,91,324,0.07231246712868512
2022-08-10,737,233,81,423,0.0719022340835336
2022-08-11,809,281,89,439,0.07881584937885705
2022-08-12,602,209,70,323,0.08179501041152307
2022-08-13,567,189,62,316,0.07435315614188182
2022-08-14,589,219,65,305,0.08979541788192935
2022-08-15,720,241,77,402,0.06638029617601635
2022-08-16,696,255,81,361,0.07676879381495146
2022-08-17,661,224,76,362,0.07164583675867124
2022-08-18,586,190,76,320,0.06696431083907087
2022-08-19,859,230,105,524,0.06148617651100829
2022-08-20,608,185,75,348,0.06932751257483988
2022-08-21,522,172,65,285,0.0805271922495342
2022-08-22,626,243,65,318,0.09494583531669194
2022-08-23,613,195,74,344,0.06316973939562642
2022-08-24,545,199,50,296,0.08319088916611032
2022-08-25,437,153,57,227,0.07852597017356742
2022-08-26,591,182,75,334,0.06580635113167368
2022-08-27,561,159,69,334,0.05266214398292118
2022-08-28,535,175,62,298,0.06851067191144429
2022-08-29,597,189,76,332,0.06647866567485496
2022-08-30,513,158,51,304,0.07030667480428004
2022-08-31,503,174,63,266,0.07503174072827304
2022-09-01,468,145,67,256,0.059204306752917865
2022-09-02,483,135,53,295,0.06367534239407853
2022-09-03,419,132,59,228,0.07913187740464367
2022-09-04,391,115,50,226,0.0655377070026792
2022-09-05,518,180,68,270,0.08422252091576071
2022-09-06,645,181,82,382,0.058852007920661024
2022-09-07,670,237,80,354,0.07583850335771332
2022-09-08,608,194,82,332,0.06514369353716257
2022-09-09,698,238,97,363,0.07578534492144808
2022-09-10,357,123,42,192,0.07731959865475772
2022-09-11,383,120,46,217,0.07545668246199765
2022-09-12,673,230,74,370,0.07867405848689146
2022-09-13,667,194,93,380,0.05533749362306066
2022-09-14,546,203,61,282,0.07453844740912484
2022-09-15,574,234,84,257,0.0757984608133987
2022-09-16,547,208,62,277,0.08520325063805738
2022-09-17,467,163,50,254,0.07631998967504855
2022-09-18,464,158,69,237,0.06643403062853494
2022-09-19,758,247,83,429,0.07214549467296268
2022-09-20,690,224,78,388,0.06968994380049634
2022-09-21,622,209,66,348,0.06726719886926835
2022-09-22,523,188,72,263,0.07253205538183174
2022-09-23,524,166,75,283,0.05260274481608769
2022-09-24,445,149,49,247,0.0712683459967519
2022-09-25,401,115,62,224,0.05482252940326506
2022-09-26,564,174,65,325,0.05806423828303577
2022-09-27,734,219,79,436,0.07022008221241872
2022-09-28,616,203,86,327,0.058841283391021036
2022-09-29,578,187,71,320,0.06695149722527843
2022-09-30,576,183,74,320,0.060945020484462105
2022-10-01,443,130,66,247,0.0606943750054289
2022-10-02,470,132,59,279,0.06067930687318985
2022-10-03,621,219,75,327,0.06361162081259454
2022-10-04,699,208,81,410,0.05874200671547647
2022-10-05,603,179,79,345,0.054614894955483675
2022-10-06,521,171,50,300,0.0784319696320142
2022-10-07,517,176,65,276,0.07392686886663555
2022-10-08,422,124,48,250,0.07304974732514721
